ID,name,description,image,Lending Amount,Crypto,Country,Category,Asset ID,Background,Skin,Message,Collaboration
11,RUMDUOL #11,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/1.png,40,DAI,Cambodia,Tuk Tuk,1,Yellow,Red,EMPOWERING THE ANONYMOUS HEROS.,IZUMIDA LEE
12,RUMDUOL #12,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/2.png,40,DAI,Cambodia,Tuk Tuk,2,Orange,Yellow,HARVESTING BETTER WORLD.,IZUMIDA LEE
13,RUMDUOL #13,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/3.png,40,DAI,Cambodia,Tuk Tuk,3,Khaki,Blue,NOW IS TOMORROW.,IZUMIDA LEE
14,RUMDUOL #14,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/4.png,40,DAI,Cambodia,Tuk Tuk,4,Blue,Green,MOVING FORWARD TOGETHER.,IZUMIDA LEE
15,RUMDUOL #15,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/5.png,40,DAI,Cambodia,Tuk Tuk,5,Green,Olive Green,NEW FLOW TO A CO-WELLNESS WORLD.,IZUMIDA LEE
16,RUMDUOL #16,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/1.png,40,DAI,Cambodia,Tuk Tuk,1,Yellow,Red,EMPOWERING THE ANONYMOUS HEROS.,IZUMIDA LEE
17,RUMDUOL #17,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/2.png,40,DAI,Cambodia,Tuk Tuk,2,Orange,Yellow,HARVESTING BETTER WORLD.,IZUMIDA LEE
18,RUMDUOL #18,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/3.png,40,DAI,Cambodia,Tuk Tuk,3,Khaki,Blue,NOW IS TOMORROW.,IZUMIDA LEE
19,RUMDUOL #19,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/4.png,40,DAI,Cambodia,Tuk Tuk,4,Blue,Green,MOVING FORWARD TOGETHER.,IZUMIDA LEE
20,RUMDUOL #20,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/5.png,40,DAI,Cambodia,Tuk Tuk,5,Green,Olive Green,NEW FLOW TO A CO-WELLNESS WORLD.,IZUMIDA LEE
21,RUMDUOL #21,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/1.png,40,DAI,Cambodia,Tuk Tuk,1,Yellow,Red,EMPOWERING THE ANONYMOUS HEROS.,IZUMIDA LEE
22,RUMDUOL #22,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/2.png,40,DAI,Cambodia,Tuk Tuk,2,Orange,Yellow,HARVESTING BETTER WORLD.,IZUMIDA LEE
23,RUMDUOL #23,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/3.png,40,DAI,Cambodia,Tuk Tuk,3,Khaki,Blue,NOW IS TOMORROW.,IZUMIDA LEE
24,RUMDUOL #24,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/4.png,40,DAI,Cambodia,Tuk Tuk,4,Blue,Green,MOVING FORWARD TOGETHER.,IZUMIDA LEE
25,RUMDUOL #25,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/5.png,40,DAI,Cambodia,Tuk Tuk,5,Green,Olive Green,NEW FLOW TO A CO-WELLNESS WORLD.,IZUMIDA LEE
26,RUMDUOL #26,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/1.png,40,DAI,Cambodia,Tuk Tuk,1,Yellow,Red,EMPOWERING THE ANONYMOUS HEROS.,IZUMIDA LEE
27,RUMDUOL #27,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/2.png,40,DAI,Cambodia,Tuk Tuk,2,Orange,Yellow,HARVESTING BETTER WORLD.,IZUMIDA LEE
28,RUMDUOL #28,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/3.png,40,DAI,Cambodia,Tuk Tuk,3,Khaki,Blue,NOW IS TOMORROW.,IZUMIDA LEE
29,RUMDUOL #29,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/4.png,40,DAI,Cambodia,Tuk Tuk,4,Blue,Green,MOVING FORWARD TOGETHER.,IZUMIDA LEE
30,RUMDUOL #30,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/5.png,40,DAI,Cambodia,Tuk Tuk,5,Green,Olive Green,NEW FLOW TO A CO-WELLNESS WORLD.,IZUMIDA LEE
31,RUMDUOL #31,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/1.png,40,DAI,Cambodia,Tuk Tuk,1,Yellow,Red,EMPOWERING THE ANONYMOUS HEROS.,IZUMIDA LEE
32,RUMDUOL #32,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/2.png,40,DAI,Cambodia,Tuk Tuk,2,Orange,Yellow,HARVESTING BETTER WORLD.,IZUMIDA LEE
33,RUMDUOL #33,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/3.png,40,DAI,Cambodia,Tuk Tuk,3,Khaki,Blue,NOW IS TOMORROW.,IZUMIDA LEE
34,RUMDUOL #34,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/4.png,40,DAI,Cambodia,Tuk Tuk,4,Blue,Green,MOVING FORWARD TOGETHER.,IZUMIDA LEE
35,RUMDUOL #35,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/5.png,40,DAI,Cambodia,Tuk Tuk,5,Green,Olive Green,NEW FLOW TO A CO-WELLNESS WORLD.,IZUMIDA LEE
36,RUMDUOL #36,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/1.png,40,DAI,Cambodia,Tuk Tuk,1,Yellow,Red,EMPOWERING THE ANONYMOUS HEROS.,IZUMIDA LEE
37,RUMDUOL #37,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/2.png,40,DAI,Cambodia,Tuk Tuk,2,Orange,Yellow,HARVESTING BETTER WORLD.,IZUMIDA LEE
38,RUMDUOL #38,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/3.png,40,DAI,Cambodia,Tuk Tuk,3,Khaki,Blue,NOW IS TOMORROW.,IZUMIDA LEE
39,RUMDUOL #39,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/4.png,40,DAI,Cambodia,Tuk Tuk,4,Blue,Green,MOVING FORWARD TOGETHER.,IZUMIDA LEE
40,RUMDUOL #40,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/5.png,40,DAI,Cambodia,Tuk Tuk,5,Green,Olive Green,NEW FLOW TO A CO-WELLNESS WORLD.,IZUMIDA LEE
41,RUMDUOL #41,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/1.png,40,DAI,Cambodia,Tuk Tuk,1,Yellow,Red,EMPOWERING THE ANONYMOUS HEROS.,IZUMIDA LEE
42,RUMDUOL #42,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/2.png,40,DAI,Cambodia,Tuk Tuk,2,Orange,Yellow,HARVESTING BETTER WORLD.,IZUMIDA LEE
43,RUMDUOL #43,"HARVEST FLOW is a service that enables social contribution by lending cryptocurrency to businesses dedicated to improving the world, thereby earning stable income gains while supporting impactful initiatives. Beyond financial returns, it offers a new form of social action by harvesting global prosperity (Harvest) and creating economic and social impact through the flow of funds (Flow).
The gathered funds are invested in real-world assets (RWA) that generate revenue over time, allowing users to tangibly see how their support is making a positive impact on society through the visualization of social actions.",https://gateway.irys.xyz/gxBSkz6E0rnS3BbbdXEtUD4Dbq1FDeuTsJUp9ejX67M/3.png,40,DAI,Cambodia,Tuk Tuk,3,Khaki,Blue,NOW IS TOMORROW.,IZUMIDA LEE
